anomalyID,fileIndex,occurencingTime,latitude,longitude
1,1,2019-07-12T04:41:35.000Z,30.23234471507093,120.04404173907395
2,1,2019-07-12T04:41:51.000Z,30.233100579264736,120.0447378132927
3,1,2019-07-12T04:45:51.000Z,30.240865249815183,120.04818069138365
4,1,2019-07-12T04:46:12.000Z,30.242279879631358,120.04782059202
5,1,2019-07-12T04:46:52.000Z,30.244299499737462,120.04731933075243
6,1,2019-07-12T04:47:35.000Z,30.24762922343656,120.04850930449848
7,1,2019-07-12T04:47:44.000Z,30.248385945536466,120.04874115062634
8,1,2019-07-12T04:51:02.000Z,30.251038091144853,120.049265441996
9,1,2019-07-12T04:52:03.000Z,30.250575105489503,120.04421370477523
10,1,2019-07-12T04:53:48.000Z,30.24959315865027,120.04086227722574
11,2,2019-07-12T04:51:56.000Z,30.249259174597398,120.03960426556343
12,2,2019-07-12T04:53:54.000Z,30.247341042894732,120.03082585220129
13,2,2019-07-12T04:57:33.000Z,30.254358025078933,120.0269812585694
14,2,2019-07-12T05:00:03.000Z,30.25347047907892,120.02648774851748
15,2,2019-07-12T05:01:13.000Z,30.25000073017577,120.02519770130108
16,2,2019-07-12T05:06:39.000Z,30.24906327521489,120.0391290162946
17,2,2019-07-12T05:06:47.000Z,30.248993479429522,120.03956734427744
18,3,2019-07-12T05:09:21.000Z,30.252336278629368,120.0508058001978
19,3,2019-07-12T05:09:37.000Z,30.25362589510193,120.05230284520823
20,3,2019-07-12T05:09:48.000Z,30.254325191744257,120.05333925406592
21,3,2019-07-12T05:09:59.000Z,30.25493254758441,120.05451348538662
22,3,2019-07-12T05:10:49.000Z,30.256172562893106,120.05707606794105
23,3,2019-07-12T05:10:57.000Z,30.256457039086648,120.05769011283769
24,3,2019-07-12T05:11:09.000Z,30.256894008020982,120.05868037823376
25,3,2019-07-12T05:11:20.000Z,30.25742424914689,120.05981908704464
26,3,2019-07-12T05:11:35.000Z,30.258179003873124,120.06142976061838
27,3,2019-07-12T05:11:46.000Z,30.258588326084805,120.0623042081028
28,3,2019-07-12T05:11:53.000Z,30.25881823110489,120.06277795510792
29,3,2019-07-12T05:12:50.000Z,30.261636299725037,120.06857520211472
30,3,2019-07-12T05:14:35.000Z,30.2635991184995,120.07512213586011
31,3,2019-07-12T05:14:57.000Z,30.263858429876127,120.07768845068527
32,4,2019-07-12T05:27:23.000Z,30.283317581725274,120.08203584226177
33,5,2019-07-12T05:41:42.000Z,30.28079499614212,120.04533333776226
34,5,2019-07-12T05:42:59.000Z,30.280395694927073,120.04354806270833
35,5,2019-07-12T05:43:38.000Z,30.27700071227972,120.0420324505874
36,5,2019-07-12T05:44:30.000Z,30.272406694380628,120.04118482089308
37,5,2019-07-12T05:44:54.000Z,30.27033467802197,120.040886216016
