num,value
18,"[[  30.194254  120.202564]
 [  30.189365  120.204954]
 [  30.187576  120.204881]
 [  30.182191  120.203151]
 [  30.181908  120.20302 ]
 [  30.18165   120.202808]
 [  30.17836   120.196581]
 [  30.177792  120.193473]
 [  30.1775    120.190669]
 [  30.177542  120.190641]
 [  30.177987  120.190412]
 [  30.188168  120.185974]
 [  30.195028  120.18795 ]
 [  30.196944  120.189431]
 [  30.199094  120.195152]
 [  30.198321  120.196406]
 [  30.195678  120.200591]]"
19,"[[  30.221614  120.231459]
 [  30.219272  120.22646 ]
 [  30.219374  120.22639 ]
 [  30.22147   120.225676]
 [  30.226024  120.225232]
 [  30.228034  120.226442]
 [  30.224184  120.230678]]"
20,"[[  30.227378  120.25052 ]
 [  30.224423  120.251663]
 [  30.224001  120.250742]
 [  30.223745  120.24961 ]
 [  30.223171  120.246604]
 [  30.223217  120.246406]
 [  30.223292  120.246397]
 [  30.226838  120.24599 ]
 [  30.227048  120.24621 ]]"
21,"[[  30.209072  120.26561 ]
 [  30.211571  120.269764]
 [  30.208391  120.27207 ]
 [  30.199486  120.268622]
 [  30.198774  120.2679  ]
 [  30.19871   120.267832]
 [  30.20001   120.26622 ]]"
22,"[[  30.328068  120.12211 ]
 [  30.327044  120.117861]
 [  30.33063   120.114249]
 [  30.33131   120.114122]
 [  30.33952   120.116103]
 [  30.34164   120.11736 ]
 [  30.341672  120.117472]
 [  30.34157   120.11952 ]
 [  30.340348  120.12091 ]
 [  30.33285   120.123443]
 [  30.330822  120.123971]
 [  30.32891   120.122808]]"
23,"[[  30.259868  120.211442]
 [  30.252865  120.20599 ]
 [  30.252962  120.204303]
 [  30.25322   120.20083 ]
 [  30.256164  120.198113]
 [  30.257402  120.197931]
 [  30.25983   120.198339]
 [  30.263632  120.199361]
 [  30.263693  120.199392]
 [  30.268202  120.203741]
 [  30.268694  120.207501]
 [  30.267344  120.209331]
 [  30.26495   120.211254]]"
24,"[[  30.312164  120.271812]
 [  30.316893  120.277204]
 [  30.315997  120.278   ]
 [  30.31049   120.281773]
 [  30.308448  120.282401]
 [  30.305426  120.279802]
 [  30.306365  120.27686 ]]"
25,"[[  30.191158  120.224742]
 [  30.182215  120.22983 ]
 [  30.180325  120.229702]
 [  30.178604  120.227481]
 [  30.178176  120.215608]
 [  30.179065  120.21393 ]
 [  30.187914  120.211175]
 [  30.1897    120.21178 ]
 [  30.189855  120.212345]
 [  30.190058  120.213377]
 [  30.19019   120.214123]
 [  30.190264  120.214567]
 [  30.190303  120.21484 ]
 [  30.190874  120.219681]]"
26,"[[  30.185764  120.18125 ]
 [  30.18128   120.176534]
 [  30.181253  120.176141]
 [  30.181072  120.169992]
 [  30.180993  120.166302]
 [  30.181854  120.162832]
 [  30.181872  120.162791]
 [  30.18374   120.16074 ]
 [  30.185256  120.159101]
 [  30.186726  120.15893 ]
 [  30.186961  120.158989]
 [  30.191176  120.16321 ]
 [  30.192821  120.167569]
 [  30.194134  120.17702 ]
 [  30.194236  120.17875 ]
 [  30.193626  120.17927 ]
 [  30.18954   120.182661]
 [  30.189125  120.182559]]"
27,"[[  30.287554  120.375729]
 [  30.290027  120.382714]
 [  30.28748   120.38362 ]
 [  30.284411  120.382123]
 [  30.282886  120.37978 ]
 [  30.282766  120.379579]
 [  30.283057  120.377722]
 [  30.286325  120.376211]]"
