DepTime,DayOfWeek,Holiday,Weekend,HighTemperature,Weather,WindStrength,Origin,Trips
2018/12/31 1:00,1,1,0,4,0,2,47,3
2018/12/31 1:00,1,1,0,4,0,2,48,0
2018/12/31 1:00,1,1,0,4,0,2,49,1
2018/12/31 1:00,1,1,0,4,0,2,50,1
2018/12/31 1:00,1,1,0,4,0,2,51,0
2018/12/31 1:00,1,1,0,4,0,2,52,0
2018/12/31 1:00,1,1,0,4,0,2,53,0
2018/12/31 2:00,1,1,0,4,0,2,0,14
2018/12/31 2:00,1,1,0,4,0,2,1,77
2018/12/31 2:00,1,1,0,4,0,2,2,68
2018/12/31 2:00,1,1,0,4,0,2,3,6
2018/12/31 2:00,1,1,0,4,0,2,4,7
2018/12/31 2:00,1,1,0,4,0,2,5,9
2018/12/31 2:00,1,1,0,4,0,2,6,11
2018/12/31 2:00,1,1,0,4,0,2,7,5
2018/12/31 2:00,1,1,0,4,0,2,8,55
2018/12/31 2:00,1,1,0,4,0,2,9,5
2018/12/31 2:00,1,1,0,4,0,2,10,1
2018/12/31 2:00,1,1,0,4,0,2,11,6
2018/12/31 2:00,1,1,0,4,0,2,12,14
2018/12/31 2:00,1,1,0,4,0,2,13,39
2018/12/31 2:00,1,1,0,4,0,2,14,1
2018/12/31 2:00,1,1,0,4,0,2,15,10
2018/12/31 2:00,1,1,0,4,0,2,16,1
2018/12/31 2:00,1,1,0,4,0,2,17,0
2018/12/31 2:00,1,1,0,4,0,2,18,22
2018/12/31 2:00,1,1,0,4,0,2,19,4
2018/12/31 2:00,1,1,0,4,0,2,20,1
2018/12/31 2:00,1,1,0,4,0,2,21,3
2018/12/31 2:00,1,1,0,4,0,2,22,1
2018/12/31 2:00,1,1,0,4,0,2,23,9
2018/12/31 2:00,1,1,0,4,0,2,24,0
2018/12/31 2:00,1,1,0,4,0,2,25,3
2018/12/31 2:00,1,1,0,4,0,2,26,0
2018/12/31 2:00,1,1,0,4,0,2,27,0
2018/12/31 2:00,1,1,0,4,0,2,28,5
2018/12/31 2:00,1,1,0,4,0,2,29,24
2018/12/31 2:00,1,1,0,4,0,2,30,7
2018/12/31 2:00,1,1,0,4,0,2,31,1
2018/12/31 2:00,1,1,0,4,0,2,32,1
2018/12/31 2:00,1,1,0,4,0,2,33,7
2018/12/31 2:00,1,1,0,4,0,2,34,2
2018/12/31 2:00,1,1,0,4,0,2,35,0
2018/12/31 2:00,1,1,0,4,0,2,36,1
2018/12/31 2:00,1,1,0,4,0,2,37,6
2018/12/31 2:00,1,1,0,4,0,2,38,0
2018/12/31 2:00,1,1,0,4,0,2,39,1
2018/12/31 2:00,1,1,0,4,0,2,40,6
2018/12/31 2:00,1,1,0,4,0,2,41,1
2018/12/31 2:00,1,1,0,4,0,2,42,2
2018/12/31 2:00,1,1,0,4,0,2,43,0
2018/12/31 2:00,1,1,0,4,0,2,44,0
2018/12/31 2:00,1,1,0,4,0,2,45,0
2018/12/31 2:00,1,1,0,4,0,2,46,1
2018/12/31 2:00,1,1,0,4,0,2,47,2
2018/12/31 2:00,1,1,0,4,0,2,48,2
2018/12/31 2:00,1,1,0,4,0,2,49,3
2018/12/31 2:00,1,1,0,4,0,2,50,0
2018/12/31 2:00,1,1,0,4,0,2,51,0
2018/12/31 2:00,1,1,0,4,0,2,52,0
2018/12/31 2:00,1,1,0,4,0,2,53,0
2018/12/31 3:00,1,1,0,4,0,2,0,4
2018/12/31 3:00,1,1,0,4,0,2,1,69
2018/12/31 3:00,1,1,0,4,0,2,2,60
2018/12/31 3:00,1,1,0,4,0,2,3,4
2018/12/31 3:00,1,1,0,4,0,2,4,2
2018/12/31 3:00,1,1,0,4,0,2,5,5
2018/12/31 3:00,1,1,0,4,0,2,6,5
2018/12/31 3:00,1,1,0,4,0,2,7,4
2018/12/31 3:00,1,1,0,4,0,2,8,24
2018/12/31 3:00,1,1,0,4,0,2,9,4
2018/12/31 3:00,1,1,0,4,0,2,10,2
2018/12/31 3:00,1,1,0,4,0,2,11,1
2018/12/31 3:00,1,1,0,4,0,2,12,12
2018/12/31 3:00,1,1,0,4,0,2,13,28
2018/12/31 3:00,1,1,0,4,0,2,14,0
2018/12/31 3:00,1,1,0,4,0,2,15,5
2018/12/31 3:00,1,1,0,4,0,2,16,0
2018/12/31 3:00,1,1,0,4,0,2,17,2
2018/12/31 3:00,1,1,0,4,0,2,18,14
2018/12/31 3:00,1,1,0,4,0,2,19,2
2018/12/31 3:00,1,1,0,4,0,2,20,0
2018/12/31 3:00,1,1,0,4,0,2,21,0
2018/12/31 3:00,1,1,0,4,0,2,22,2
2018/12/31 3:00,1,1,0,4,0,2,23,10
2018/12/31 3:00,1,1,0,4,0,2,24,2
2018/12/31 3:00,1,1,0,4,0,2,25,2
2018/12/31 3:00,1,1,0,4,0,2,26,4
2018/12/31 3:00,1,1,0,4,0,2,27,2
2018/12/31 3:00,1,1,0,4,0,2,28,4
2018/12/31 3:00,1,1,0,4,0,2,29,5
2018/12/31 3:00,1,1,0,4,0,2,30,3
2018/12/31 3:00,1,1,0,4,0,2,31,1
2018/12/31 3:00,1,1,0,4,0,2,32,1
2018/12/31 3:00,1,1,0,4,0,2,33,6
2018/12/31 3:00,1,1,0,4,0,2,34,3
2018/12/31 3:00,1,1,0,4,0,2,35,3
2018/12/31 3:00,1,1,0,4,0,2,36,0
2018/12/31 3:00,1,1,0,4,0,2,37,3
2018/12/31 3:00,1,1,0,4,0,2,38,0
2018/12/31 3:00,1,1,0,4,0,2,39,1
2018/12/31 3:00,1,1,0,4,0,2,40,1
2018/12/31 3:00,1,1,0,4,0,2,41,2
2018/12/31 3:00,1,1,0,4,0,2,42,2
2018/12/31 3:00,1,1,0,4,0,2,43,0
2018/12/31 3:00,1,1,0,4,0,2,44,0
2018/12/31 3:00,1,1,0,4,0,2,45,0
2018/12/31 3:00,1,1,0,4,0,2,46,0
2018/12/31 3:00,1,1,0,4,0,2,47,0
2018/12/31 3:00,1,1,0,4,0,2,48,0
2018/12/31 3:00,1,1,0,4,0,2,49,3
2018/12/31 3:00,1,1,0,4,0,2,50,0
2018/12/31 3:00,1,1,0,4,0,2,51,0
2018/12/31 3:00,1,1,0,4,0,2,52,1
2018/12/31 3:00,1,1,0,4,0,2,53,0
2018/12/31 4:00,1,1,0,4,0,2,0,4
2018/12/31 4:00,1,1,0,4,0,2,1,61
2018/12/31 4:00,1,1,0,4,0,2,2,50
2018/12/31 4:00,1,1,0,4,0,2,3,2
2018/12/31 4:00,1,1,0,4,0,2,4,2
2018/12/31 4:00,1,1,0,4,0,2,5,5
2018/12/31 4:00,1,1,0,4,0,2,6,3
2018/12/31 4:00,1,1,0,4,0,2,7,6
2018/12/31 4:00,1,1,0,4,0,2,8,12
2018/12/31 4:00,1,1,0,4,0,2,9,5
2018/12/31 4:00,1,1,0,4,0,2,10,1
2018/12/31 4:00,1,1,0,4,0,2,11,6
2018/12/31 4:00,1,1,0,4,0,2,12,13
2018/12/31 4:00,1,1,0,4,0,2,13,25
2018/12/31 4:00,1,1,0,4,0,2,14,1
2018/12/31 4:00,1,1,0,4,0,2,15,1
2018/12/31 4:00,1,1,0,4,0,2,16,0
2018/12/31 4:00,1,1,0,4,0,2,17,1
2018/12/31 4:00,1,1,0,4,0,2,18,6
2018/12/31 4:00,1,1,0,4,0,2,19,1
2018/12/31 4:00,1,1,0,4,0,2,20,1
2018/12/31 4:00,1,1,0,4,0,2,21,2
2018/12/31 4:00,1,1,0,4,0,2,22,3
2018/12/31 4:00,1,1,0,4,0,2,23,7
2018/12/31 4:00,1,1,0,4,0,2,24,1
2018/12/31 4:00,1,1,0,4,0,2,25,1
2018/12/31 4:00,1,1,0,4,0,2,26,2
2018/12/31 4:00,1,1,0,4,0,2,27,2
2018/12/31 4:00,1,1,0,4,0,2,28,2
2018/12/31 4:00,1,1,0,4,0,2,29,0
2018/12/31 4:00,1,1,0,4,0,2,30,2
2018/12/31 4:00,1,1,0,4,0,2,31,1
2018/12/31 4:00,1,1,0,4,0,2,32,8
2018/12/31 4:00,1,1,0,4,0,2,33,3
2018/12/31 4:00,1,1,0,4,0,2,34,6
2018/12/31 4:00,1,1,0,4,0,2,35,1
2018/12/31 4:00,1,1,0,4,0,2,36,1
2018/12/31 4:00,1,1,0,4,0,2,37,0
2018/12/31 4:00,1,1,0,4,0,2,38,0
2018/12/31 4:00,1,1,0,4,0,2,39,0
2018/12/31 4:00,1,1,0,4,0,2,40,6
2018/12/31 4:00,1,1,0,4,0,2,41,0
2018/12/31 4:00,1,1,0,4,0,2,42,1
2018/12/31 4:00,1,1,0,4,0,2,43,0
2018/12/31 4:00,1,1,0,4,0,2,44,2
2018/12/31 4:00,1,1,0,4,0,2,45,0
2018/12/31 4:00,1,1,0,4,0,2,46,1
2018/12/31 4:00,1,1,0,4,0,2,47,2
2018/12/31 4:00,1,1,0,4,0,2,48,0
2018/12/31 4:00,1,1,0,4,0,2,49,2
2018/12/31 4:00,1,1,0,4,0,2,50,0
2018/12/31 4:00,1,1,0,4,0,2,51,0
2018/12/31 4:00,1,1,0,4,0,2,52,0
2018/12/31 4:00,1,1,0,4,0,2,53,0
2018/12/31 5:00,1,1,0,4,0,2,0,9
2018/12/31 5:00,1,1,0,4,0,2,1,65
2018/12/31 5:00,1,1,0,4,0,2,2,80
2018/12/31 5:00,1,1,0,4,0,2,3,1
2018/12/31 5:00,1,1,0,4,0,2,4,5
2018/12/31 5:00,1,1,0,4,0,2,5,6
2018/12/31 5:00,1,1,0,4,0,2,6,2
2018/12/31 5:00,1,1,0,4,0,2,7,2
2018/12/31 5:00,1,1,0,4,0,2,8,22
2018/12/31 5:00,1,1,0,4,0,2,9,4
2018/12/31 5:00,1,1,0,4,0,2,10,0
2018/12/31 5:00,1,1,0,4,0,2,11,13
2018/12/31 5:00,1,1,0,4,0,2,12,10
2018/12/31 5:00,1,1,0,4,0,2,13,29
2018/12/31 5:00,1,1,0,4,0,2,14,3
2018/12/31 5:00,1,1,0,4,0,2,15,7
2018/12/31 5:00,1,1,0,4,0,2,16,0
2018/12/31 5:00,1,1,0,4,0,2,17,1
2018/12/31 5:00,1,1,0,4,0,2,18,8
2018/12/31 5:00,1,1,0,4,0,2,19,4
2018/12/31 5:00,1,1,0,4,0,2,20,2
2018/12/31 5:00,1,1,0,4,0,2,21,2
2018/12/31 5:00,1,1,0,4,0,2,22,1
2018/12/31 5:00,1,1,0,4,0,2,23,3
2018/12/31 5:00,1,1,0,4,0,2,24,2
2018/12/31 5:00,1,1,0,4,0,2,25,0
2018/12/31 5:00,1,1,0,4,0,2,26,3
2018/12/31 5:00,1,1,0,4,0,2,27,4
2018/12/31 5:00,1,1,0,4,0,2,28,5
2018/12/31 5:00,1,1,0,4,0,2,29,3
2018/12/31 5:00,1,1,0,4,0,2,30,0
2018/12/31 5:00,1,1,0,4,0,2,31,1
2018/12/31 5:00,1,1,0,4,0,2,32,1
2018/12/31 5:00,1,1,0,4,0,2,33,10
2018/12/31 5:00,1,1,0,4,0,2,34,7
2018/12/31 5:00,1,1,0,4,0,2,35,3
2018/12/31 5:00,1,1,0,4,0,2,36,1
2018/12/31 5:00,1,1,0,4,0,2,37,5
2018/12/31 5:00,1,1,0,4,0,2,38,1
2018/12/31 5:00,1,1,0,4,0,2,39,0
2018/12/31 5:00,1,1,0,4,0,2,40,0
2018/12/31 5:00,1,1,0,4,0,2,41,1
2018/12/31 5:00,1,1,0,4,0,2,42,0
2018/12/31 5:00,1,1,0,4,0,2,43,3
2018/12/31 5:00,1,1,0,4,0,2,44,5
2018/12/31 5:00,1,1,0,4,0,2,45,1
2018/12/31 5:00,1,1,0,4,0,2,46,0
2018/12/31 5:00,1,1,0,4,0,2,47,0
2018/12/31 5:00,1,1,0,4,0,2,48,2
2018/12/31 5:00,1,1,0,4,0,2,49,0
2018/12/31 5:00,1,1,0,4,0,2,50,2
2018/12/31 5:00,1,1,0,4,0,2,51,0
2018/12/31 5:00,1,1,0,4,0,2,52,1
2018/12/31 5:00,1,1,0,4,0,2,53,0
2018/12/31 6:00,1,1,0,4,0,2,0,4
2018/12/31 6:00,1,1,0,4,0,2,1,115
2018/12/31 6:00,1,1,0,4,0,2,2,119
2018/12/31 6:00,1,1,0,4,0,2,3,4
2018/12/31 6:00,1,1,0,4,0,2,4,10
2018/12/31 6:00,1,1,0,4,0,2,5,2
2018/12/31 6:00,1,1,0,4,0,2,6,21
2018/12/31 6:00,1,1,0,4,0,2,7,6
2018/12/31 6:00,1,1,0,4,0,2,8,39
2018/12/31 6:00,1,1,0,4,0,2,9,13
2018/12/31 6:00,1,1,0,4,0,2,10,3
2018/12/31 6:00,1,1,0,4,0,2,11,21
2018/12/31 6:00,1,1,0,4,0,2,12,28
2018/12/31 6:00,1,1,0,4,0,2,13,20
2018/12/31 6:00,1,1,0,4,0,2,14,10
2018/12/31 6:00,1,1,0,4,0,2,15,9
2018/12/31 6:00,1,1,0,4,0,2,16,0
2018/12/31 6:00,1,1,0,4,0,2,17,0
2018/12/31 6:00,1,1,0,4,0,2,18,13
2018/12/31 6:00,1,1,0,4,0,2,19,6
2018/12/31 6:00,1,1,0,4,0,2,20,1
2018/12/31 6:00,1,1,0,4,0,2,21,9
2018/12/31 6:00,1,1,0,4,0,2,22,12
2018/12/31 6:00,1,1,0,4,0,2,23,9
2018/12/31 6:00,1,1,0,4,0,2,24,5
2018/12/31 6:00,1,1,0,4,0,2,25,1
2018/12/31 6:00,1,1,0,4,0,2,26,2
2018/12/31 6:00,1,1,0,4,0,2,27,4
2018/12/31 6:00,1,1,0,4,0,2,28,10
2018/12/31 6:00,1,1,0,4,0,2,29,2
2018/12/31 6:00,1,1,0,4,0,2,30,1
2018/12/31 6:00,1,1,0,4,0,2,31,4
2018/12/31 6:00,1,1,0,4,0,2,32,10
2018/12/31 6:00,1,1,0,4,0,2,33,11
2018/12/31 6:00,1,1,0,4,0,2,34,20
2018/12/31 6:00,1,1,0,4,0,2,35,3
2018/12/31 6:00,1,1,0,4,0,2,36,3
2018/12/31 6:00,1,1,0,4,0,2,37,2
2018/12/31 6:00,1,1,0,4,0,2,38,0
2018/12/31 6:00,1,1,0,4,0,2,39,3
2018/12/31 6:00,1,1,0,4,0,2,40,3
2018/12/31 6:00,1,1,0,4,0,2,41,2
2018/12/31 6:00,1,1,0,4,0,2,42,0
2018/12/31 6:00,1,1,0,4,0,2,43,6
2018/12/31 6:00,1,1,0,4,0,2,44,3
2018/12/31 6:00,1,1,0,4,0,2,45,5
2018/12/31 6:00,1,1,0,4,0,2,46,1
2018/12/31 6:00,1,1,0,4,0,2,47,1
2018/12/31 6:00,1,1,0,4,0,2,48,1
2018/12/31 6:00,1,1,0,4,0,2,49,1
2018/12/31 6:00,1,1,0,4,0,2,50,2
2018/12/31 6:00,1,1,0,4,0,2,51,3
2018/12/31 6:00,1,1,0,4,0,2,52,2
2018/12/31 6:00,1,1,0,4,0,2,53,0
2018/12/31 7:00,1,1,0,4,0,2,0,28
2018/12/31 7:00,1,1,0,4,0,2,1,379
2018/12/31 7:00,1,1,0,4,0,2,2,488
2018/12/31 7:00,1,1,0,4,0,2,3,13
2018/12/31 7:00,1,1,0,4,0,2,4,58
2018/12/31 7:00,1,1,0,4,0,2,5,13
2018/12/31 7:00,1,1,0,4,0,2,6,123
2018/12/31 7:00,1,1,0,4,0,2,7,11
2018/12/31 7:00,1,1,0,4,0,2,8,178
2018/12/31 7:00,1,1,0,4,0,2,9,41
2018/12/31 7:00,1,1,0,4,0,2,10,7
2018/12/31 7:00,1,1,0,4,0,2,11,58
2018/12/31 7:00,1,1,0,4,0,2,12,69
2018/12/31 7:00,1,1,0,4,0,2,13,49
2018/12/31 7:00,1,1,0,4,0,2,14,46
2018/12/31 7:00,1,1,0,4,0,2,15,17
2018/12/31 7:00,1,1,0,4,0,2,16,0
2018/12/31 7:00,1,1,0,4,0,2,17,6
2018/12/31 7:00,1,1,0,4,0,2,18,84
2018/12/31 7:00,1,1,0,4,0,2,19,35
2018/12/31 7:00,1,1,0,4,0,2,20,4
2018/12/31 7:00,1,1,0,4,0,2,21,11
2018/12/31 7:00,1,1,0,4,0,2,22,119
2018/12/31 7:00,1,1,0,4,0,2,23,44
2018/12/31 7:00,1,1,0,4,0,2,24,5
2018/12/31 7:00,1,1,0,4,0,2,25,4
2018/12/31 7:00,1,1,0,4,0,2,26,13
2018/12/31 7:00,1,1,0,4,0,2,27,29
2018/12/31 7:00,1,1,0,4,0,2,28,30
2018/12/31 7:00,1,1,0,4,0,2,29,2
