DepTime,DayOfWeek,Holiday,Weekend,HighTemperature,Weather,WindStrength,Destination,Trips
2018/12/31 2:00,1,1,0,4,0,2,3,18
2018/12/31 2:00,1,1,0,4,0,2,4,81
2018/12/31 2:00,1,1,0,4,0,2,5,4
2018/12/31 2:00,1,1,0,4,0,2,6,25
2018/12/31 2:00,1,1,0,4,0,2,7,11
2018/12/31 2:00,1,1,0,4,0,2,8,82
2018/12/31 2:00,1,1,0,4,0,2,9,20
2018/12/31 2:00,1,1,0,4,0,2,10,33
2018/12/31 2:00,1,1,0,4,0,2,11,14
2018/12/31 2:00,1,1,0,4,0,2,12,1
2018/12/31 2:00,1,1,0,4,0,2,13,7
2018/12/31 2:00,1,1,0,4,0,2,14,8
2018/12/31 2:00,1,1,0,4,0,2,15,2
2018/12/31 2:00,1,1,0,4,0,2,16,3
2018/12/31 2:00,1,1,0,4,0,2,17,2
2018/12/31 2:00,1,1,0,4,0,2,18,9
2018/12/31 2:00,1,1,0,4,0,2,19,4
2018/12/31 2:00,1,1,0,4,0,2,20,4
2018/12/31 2:00,1,1,0,4,0,2,21,6
2018/12/31 2:00,1,1,0,4,0,2,22,5
2018/12/31 2:00,1,1,0,4,0,2,23,11
2018/12/31 2:00,1,1,0,4,0,2,24,4
2018/12/31 2:00,1,1,0,4,0,2,25,15
2018/12/31 2:00,1,1,0,4,0,2,26,5
2018/12/31 2:00,1,1,0,4,0,2,27,4
2018/12/31 2:00,1,1,0,4,0,2,28,4
2018/12/31 2:00,1,1,0,4,0,2,29,10
2018/12/31 2:00,1,1,0,4,0,2,30,0
2018/12/31 2:00,1,1,0,4,0,2,31,10
2018/12/31 2:00,1,1,0,4,0,2,32,2
2018/12/31 2:00,1,1,0,4,0,2,33,0
2018/12/31 2:00,1,1,0,4,0,2,34,2
2018/12/31 2:00,1,1,0,4,0,2,35,1
2018/12/31 2:00,1,1,0,4,0,2,36,0
2018/12/31 2:00,1,1,0,4,0,2,37,0
2018/12/31 2:00,1,1,0,4,0,2,38,6
2018/12/31 2:00,1,1,0,4,0,2,39,2
2018/12/31 2:00,1,1,0,4,0,2,40,0
2018/12/31 2:00,1,1,0,4,0,2,41,0
2018/12/31 2:00,1,1,0,4,0,2,42,0
2018/12/31 2:00,1,1,0,4,0,2,43,7
2018/12/31 2:00,1,1,0,4,0,2,44,1
2018/12/31 2:00,1,1,0,4,0,2,45,4
2018/12/31 2:00,1,1,0,4,0,2,46,1
2018/12/31 2:00,1,1,0,4,0,2,47,1
2018/12/31 2:00,1,1,0,4,0,2,48,0
2018/12/31 3:00,1,1,0,4,0,2,0,4
2018/12/31 3:00,1,1,0,4,0,2,1,0
2018/12/31 3:00,1,1,0,4,0,2,2,5
2018/12/31 3:00,1,1,0,4,0,2,3,4
2018/12/31 3:00,1,1,0,4,0,2,4,65
2018/12/31 3:00,1,1,0,4,0,2,5,5
2018/12/31 3:00,1,1,0,4,0,2,6,18
2018/12/31 3:00,1,1,0,4,0,2,7,12
2018/12/31 3:00,1,1,0,4,0,2,8,47
2018/12/31 3:00,1,1,0,4,0,2,9,4
2018/12/31 3:00,1,1,0,4,0,2,10,27
2018/12/31 3:00,1,1,0,4,0,2,11,4
2018/12/31 3:00,1,1,0,4,0,2,12,2
2018/12/31 3:00,1,1,0,4,0,2,13,2
2018/12/31 3:00,1,1,0,4,0,2,14,6
2018/12/31 3:00,1,1,0,4,0,2,15,2
2018/12/31 3:00,1,1,0,4,0,2,16,2
2018/12/31 3:00,1,1,0,4,0,2,17,5
2018/12/31 3:00,1,1,0,4,0,2,18,5
2018/12/31 3:00,1,1,0,4,0,2,19,3
2018/12/31 3:00,1,1,0,4,0,2,20,1
2018/12/31 3:00,1,1,0,4,0,2,21,5
2018/12/31 3:00,1,1,0,4,0,2,22,1
2018/12/31 3:00,1,1,0,4,0,2,23,3
2018/12/31 3:00,1,1,0,4,0,2,24,2
2018/12/31 3:00,1,1,0,4,0,2,25,9
2018/12/31 3:00,1,1,0,4,0,2,26,10
2018/12/31 3:00,1,1,0,4,0,2,27,1
2018/12/31 3:00,1,1,0,4,0,2,28,3
2018/12/31 3:00,1,1,0,4,0,2,29,3
2018/12/31 3:00,1,1,0,4,0,2,30,1
2018/12/31 3:00,1,1,0,4,0,2,31,6
2018/12/31 3:00,1,1,0,4,0,2,32,2
2018/12/31 3:00,1,1,0,4,0,2,33,2
2018/12/31 3:00,1,1,0,4,0,2,34,17
2018/12/31 3:00,1,1,0,4,0,2,35,0
2018/12/31 3:00,1,1,0,4,0,2,36,2
2018/12/31 3:00,1,1,0,4,0,2,37,3
2018/12/31 3:00,1,1,0,4,0,2,38,4
2018/12/31 3:00,1,1,0,4,0,2,39,0
